pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
101.25199,-76.73102,0.0,top,,,,,,tht
100.36299,-32.40793,0.0,top,,,,,,tht
122.08003,-76.73102,0.0,top,,,,,,tht
108.95,-74.7,0.0,bottom,BZ1,,,Buzzer_5020,Buzzer,smt
104.378,-48.26,0.0,bottom,C1,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
103.6,-37.9,180.0,bottom,C2,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
100.483,-64.750342,90.0,top,C3,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
122.691,-64.4765,-90.0,top,C4,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
115.7,-41.5,180.0,bottom,J1,,,SMD_PAD_1x01,EXTRA,smt
104.6,-62.65,0.0,bottom,J11,,,SMD_PAD_1x01,"FET1 3,3",smt
104.6,-64.8,0.0,bottom,J12,,,SMD_PAD_1x01,"FET2 3,3",smt
104.65,-70.8,0.0,bottom,J13,,,SMD_PAD_1x01,"FET3 3,3",smt
107.21,-59.843,0.0,bottom,J14,,,SMD_PAD_1x04,GPS Pins,smt
107.253,-56.097,0.0,bottom,J16,,,SMD_PAD_1x04,Encoder Pads,smt
119.35,-50.35,180.0,bottom,J37,,,SMD_PAD_1x01,SCL,smt
120.25,-37.15,0.0,bottom,J38,,,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,QWIIC,smt
119.35,-52.7,180.0,bottom,J39,,,SMD_PAD_1x01,SDA,smt
119.35,-47.65,180.0,bottom,J40,,,SMD_PAD_1x01,3.3V,smt
118.8,-45.2,180.0,bottom,J41,,,SMD_PAD_1x01,GND,smt
117.05,-62.25,180.0,bottom,J42,,,SMD_PAD_1x01,FET1,smt
117.2,-66.0,180.0,bottom,J43,,,SMD_PAD_1x01,FET2,smt
117.15,-69.85,180.0,bottom,J44,,,SMD_PAD_1x01,FET3,smt
115.75,-39.65,180.0,bottom,J45,,,SMD_PAD_1x01,GND,smt
115.75,-43.35,180.0,bottom,J46,,,SMD_PAD_1x01,3.3V,smt
120.2,-75.4,180.0,bottom,J47,,,SMD_PAD_1x01,GND,smt
118.3,-75.45,180.0,bottom,J48,,,SMD_PAD_1x01,GND,smt
103.9,-75.35,180.0,bottom,J49,,,SMD_PAD_1x01,GND,smt
122.25098,-45.13101,0.0,top,J5,,,PinHeader_1x04_P2.54mm_Vertical,I2C Oled screen,tht
107.0,-62.65,180.0,bottom,J6,,,SMD_PAD_1x01,FET1 Drain,smt
106.95,-64.75,180.0,bottom,J7,,,SMD_PAD_1x01,FET2 Drain,smt
106.95,-70.75,180.0,bottom,J8,,,SMD_PAD_1x01,FET3 Drain,smt
111.712,-33.422,180.0,bottom,J9,,,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,Battery Connector,smt
112.883,-63.234,180.0,bottom,Q1,,,SOT-23_Handsoldering,AO3400A,smt
112.85,-66.95,180.0,bottom,Q2,,,SOT-23_Handsoldering,AO3400A,smt
112.883,-70.734,180.0,bottom,Q3,,,SOT-23_Handsoldering,AO3400A,smt
120.2,-62.2,180.0,bottom,R1,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10k,smt
112.2,-51.95,90.0,bottom,R10,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10k,smt
109.5,-51.95,90.0,bottom,R11,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10k,smt
120.15,-66.0,180.0,bottom,R2,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10k,smt
120.15,-69.8,180.0,bottom,R3,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10k,smt
102.362,-52.197,180.0,bottom,R4,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,680K,smt
104.378,-50.292,0.0,bottom,R5,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1M,smt
103.6,-35.85,0.0,bottom,R6,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1k,smt
120.1,-73.45,180.0,bottom,R7,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10k,smt
103.65,-73.05,180.0,bottom,R8,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10k,smt
114.81,-52.0,90.0,bottom,R9,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10k,smt
100.633,-71.484,90.0,top,SW1,,,SW_Push_SPST_NO_Alps_SKRK,Reset,smt
122.533,-71.534,90.0,top,SW2,,,SW_Push_SPST_NO_Alps_SKRK,SW_Push,smt
102.743,-43.267,90.0,bottom,U1,,,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm,XB8089D0,smt
102.643,-45.43199,0.0,top,U2,,,HT-RA62,HT-RA62,tht
111.58298,-62.78401,180.0,top,U3,,,NICE!NANO and pro-micro V2_2 SMD,nice!nano v2,smt
